2311,"1720 EAST 14 STREET, New York City, NY, ",No_Match,,,,,,,,,
7,"250 SOUTH END AVENUE, New York City, NY, ",Match,Exact,"250 S END AVE, NEW YORK, NY, 10280","-74.016556,40.70973",650073381,R,36,61,31704,3000
2310,"1674 EAST 22 STREET, New York City, NY, ",No_Match,,,,,,,,,
8,"300 ALBANY STREET, New York City, NY, ",Match,Exact,"300 ALBANY ST, NEW YORK, NY, 10280","-74.01647,40.710102",650073379,R,36,61,31704,2000
3641,"1787 MADISON AVENUE, New York City, NY, ",Match,Exact,"1787 MADISON AVE, NEW YORK, NY, 10035","-73.944214,40.800842",59657997,R,36,61,18400,1003
4972,"900 LENOX ROAD, New York City, NY, ",No_Match,,,,,,,,,
9,"380 RECTOR PLACE, New York City, NY, ",Match,Exact,"380 RECTOR PL, NEW YORK, NY, 10280","-74.017784,40.70932",610200410,L,36,61,31704,2003
3642,"1 MT MORRIS PARK WEST, New York City, NY, ",Match,Exact,"1 MOUNT MORRIS PARK W, NEW YORK, NY, 10027","-73.946106,40.803932",59657747,L,36,61,20000,1000
4973,"232 LEE AVENUE, New York City, NY, ",No_Match,,,,,,,,,
3643,"42 EAST 20 STREET, New York City, NY, ",Match,Exact,"42 E 20TH ST, NEW YORK, NY, 10003","-73.989426,40.73903",59653627,R,36,61,5200,1001
4974,"285 DRIGGS AVENUE, New York City, NY, ",No_Match,,,,,,,,,
3644,"366 WEST 15 STREET, New York City, NY, ",Match,Exact,"366 W 15TH ST, NEW YORK, NY, 10011","-74.00386,40.741215",59659798,L,36,61,8300,2001
4975,"756 MYRTLE AVENUE, New York City, NY, ",No_Match,,,,,,,,,
3645,"330 WEST 145 STREET, New York City, NY, ",Match,Exact,"330 W 145TH ST, NEW YORK, NY, 10039","-73.94343,40.823467",59656277,L,36,61,22700,3000
4976,"10002 4 AVENUE, New York City, NY, ",No_Match,,,,,,,,,
3646,"360 WEST 28 STREET, New York City, NY, ",Match,Exact,"360 W 28TH ST, NEW YORK, NY, 10001","-73.99848,40.74949",610199411,L,36,61,9700,1001
4977,"708 6 AVENUE, New York City, NY, ",Match,Exact,"708 6TH AVE, NEW YORK, NY, 10010","-73.99265,40.743103",59653412,R,36,61,5800,1007
2319,"177 BAY 49 STREET, New York City, NY, ",Tie,,,,,,,,,
3647,"102 FULTON STREET, New York City, NY, ",Match,Exact,"102 FULTON ST, NEW YORK, NY, 10038","-74.00659,40.709633",59660467,L,36,61,1502,1003
4978,"2103 57 STREET, New York City, NY, ",No_Match,,,,,,,,,
2318,"148 BAY 49 STREET, New York City, NY, ",Tie,,,,,,,,,
3648,"63 WEST 17 STREET, New York City, NY, ",Match,Exact,"63 W 17TH ST, NEW YORK, NY, 10011","-73.994194,40.73875",59653512,R,36,61,5400,1004
4979,"2120 OCEAN AVENUE, New York City, NY, ",No_Match,,,,,,,,,
4990,"94 MASPETH AVENUE, New York City, NY, ",No_Match,,,,,,,,,
3660,"43 CLARKSON STREET, New York City, NY, ",Match,Exact,"43 CLARKSON ST, NEW YORK, NY, 10014","-74.008095,40.729607",59660045,R,36,61,6900,1012
4991,"580 CROWN STREET, New York City, NY, ",No_Match,,,,,,,,,
3661,"443 BROADWAY, New York City, NY, ",No_Match,,,,,,,,,
4992,"7620 BAY PARKWAY, New York City, NY, ",No_Match,,,,,,,,,
3662,"344 EAST 50 STREET, New York City, NY, ",Match,Exact,"344 E 50TH ST, NEW YORK, NY, 10022","-73.967445,40.754417",59658723,R,36,61,9800,4000
4993,"118 GREENPOINT AVENUE, New York City, NY, ",No_Match,,,,,,,,,
1000,"23 EAST 74 STREET, New York City, NY, ",Match,Exact,"23 E 74TH ST, NEW YORK, NY, 10021","-73.96489,40.77328",59657286,L,36,61,13000,4002
2331,"3080 WEST 1 STREET, New York City, NY, ",No_Match,,,,,,,,,
2330,"501 SURF AVENUE, New York City, NY, ",No_Match,,,,,,,,,
2328,"2827 OCEAN PARKWAY, New York City, NY, ",No_Match,,,,,,,,,
2327,"611 BANNER AVENUE, New York City, NY, ",No_Match,,,,,,,,,
2326,"802 AVENUE U, New York City, NY, ",No_Match,,,,,,,,,
2325,"400 AVENUE U, New York City, NY, ",No_Match,,,,,,,,,
2324,"2720 86 STREET, New York City, NY, ",No_Match,,,,,,,,,
2323,"279 LAKE STREET, New York City, NY, ",No_Match,,,,,,,,,
2322,"2882 WEST 15 STREET, New York City, NY, ",No_Match,,,,,,,,,
2321,"2121 SHORE PARKWAY SR NOR, New York City, NY, ",No_Match,,,,,,,,,
3652,"104 CHARLTON STREET, New York City, NY, ",Match,Exact,"104 CHARLTON ST, NEW YORK, NY, 10014","-74.00761,40.727352",59660051,L,36,61,3700,1012
4983,"1773 EAST 19 STREET, New York City, NY, ",No_Match,,,,,,,,,
3653,"425 5 AVENUE, New York City, NY, ",Match,Exact,"425 5TH AVE, NEW YORK, NY, 10016","-73.982635,40.751072",59658633,R,36,61,8200,1007
4984,"5008 7 AVENUE, New York City, NY, ",No_Match,,,,,,,,,
3654,"333 EAST 34 STREET, New York City, NY, ",Match,Exact,"333 E 34TH ST, NEW YORK, NY, 10016","-73.97462,40.744255",59654497,L,36,61,7800,5003
4985,"2955 BRIGHTON 7 STREET, New York City, NY, ",No_Match,,,,,,,,,
3655,"1628 2 AVENUE, New York City, NY, ",No_Match,,,,,,,,,
4986,"100 NORTH 3 STREET, New York City, NY, ",No_Match,,,,,,,,,
3656,"163 ST NICHOLAS AVENUE, New York City, NY, ",Match,Exact,"163 ST NICHOLAS AVE, NEW YORK, NY, 10026","-73.952774,40.805176",59657679,L,36,61,22000,4003
4987,"1735 CATON AVENUE, New York City, NY, ",No_Match,,,,,,,,,
3657,"130 WEST 30 STREET, New York City, NY, ",Match,Exact,"130 W 30TH ST, NEW YORK, NY, 10001","-73.99058,40.747677",59653403,L,36,61,9500,1000
4988,"1227 44 STREET, New York City, NY, ",No_Match,,,,,,,,,
3658,"151 EAST 58 STREET, New York City, NY, ",Match,Exact,"151 E 58TH ST, NEW YORK, NY, 10022","-73.96818,40.76141",59657490,L,36,61,11203,1000
4989,"622 FOSTER AVENUE, New York City, NY, ",No_Match,,,,,,,,,
2329,"2955 SHELL ROAD, New York City, NY, ",No_Match,,,,,,,,,
3659,"133 NORFOLK STREET, New York City, NY, ",Match,Exact,"133 NORFOLK ST, NEW YORK, NY, 10002","-73.98667,40.71977",59654135,L,36,61,3001,4002
3670,"1 MORTON SQUARE, New York City, NY, ",Match,Non_Exact,"1 MORTON ST, NEW YORK, NY, 10014","-74.00323,40.73144",59659951,R,36,61,6700,3001
3671,"146 WEST 22 STREET, New York City, NY, ",Match,Exact,"146 W 22ND ST, NEW YORK, NY, 10011","-73.994644,40.742798",59653399,L,36,61,8700,1000
3672,"364 WEST 117 STREET, New York City, NY, ",Match,Exact,"364 W 117TH ST, NEW YORK, NY, 10026","-73.95655,40.805794",59657645,L,36,61,20102,4001
3673,"491 GREENWICH STREET, New York City, NY, ",Match,Exact,"491 GREENWICH ST, NEW YORK, NY, 10013","-74.00922,40.72527",59661678,R,36,61,3700,1018
1011,"149 EAST 62 STREET, New York City, NY, ",Match,Exact,"149 E 62ND ST, NEW YORK, NY, 10065","-73.9665,40.763977",59657470,L,36,61,11402,1000
2342,"2569 OCEAN AVENUE, New York City, NY, ",No_Match,,,,,,,,,
1010,"525 PARK AVENUE, New York City, NY, ",No_Match,,,,,,,,,
2341,"2126 HOMECREST AVENUE, New York City, NY, ",No_Match,,,,,,,,,
2340,"2523 OCEAN AVENUE, New York City, NY, ",No_Match,,,,,,,,,
1008,"1010 3 AVENUE, New York City, NY, ",No_Match,,,,,,,,,
2339,"2475 OCEAN AVENUE, New York City, NY, ",No_Match,,,,,,,,,
1007,"515 PARK AVENUE, New York City, NY, ",Match,Exact,"515 PARK AVE, NEW YORK, NY, 10022","-73.96941,40.763435",59657437,R,36,61,11402,2003
2338,"2471 OCEAN AVENUE, New York City, NY, ",No_Match,,,,,,,,,
1006,"3 EAST 78 STREET, New York City, NY, ",Match,Exact,"3 E 78TH ST, NEW YORK, NY, 10075","-73.96402,40.77623",59657266,L,36,61,14200,4001
2337,"2511 OCEAN AVENUE, New York City, NY, ",No_Match,,,,,,,,,
1005,"1009 MADISON AVENUE, New York City, NY, ",Match,Exact,"1009 MADISON AVE, NEW YORK, NY, 10075","-73.962654,40.775585",59657333,R,36,61,14200,3001
2336,"2381 OCEAN AVENUE, New York City, NY, ",No_Match,,,,,,,,,
1004,"14 EAST 77 STREET, New York City, NY, ",Match,Exact,"14 E 77TH ST, NEW YORK, NY, 10075","-73.96421,40.77547",59657268,R,36,61,13000,4000
2335,"2421 OCEAN AVENUE, New York City, NY, ",No_Match,,,,,,,,,
1003,"32 EAST 76 STREET, New York City, NY, ",Match,Exact,"32 E 76TH ST, NEW YORK, NY, 10021","-73.96339,40.774292",642471949,R,36,61,13000,1001
2334,"2388 OCEAN AVENUE, New York City, NY, ",No_Match,,,,,,,,,
1002,"30 EAST 76 STREET, New York City, NY, ",Match,Exact,"30 E 76TH ST, NEW YORK, NY, 10021","-73.963425,40.77431",642471949,R,36,61,13000,1001
2333,"2384 OCEAN AVENUE, New York City, NY, ",No_Match,,,,,,,,,
2332,"1400 AVENUE S, New York City, NY, ",No_Match,,,,,,,,,
3663,"181 EAST 90 STREET, New York City, NY, ",Match,Exact,"181 E 90TH ST, NEW YORK, NY, 10128","-73.95265,40.781616",59657875,L,36,61,14802,1000
4994,"165 NORTH 10 STREET, New York City, NY, ",No_Match,,,,,,,,,
3664,"1400 5 AVENUE, New York City, NY, ",No_Match,,,,,,,,,
4995,"95 LEXINGTON AVENUE, New York City, NY, ",No_Match,,,,,,,,,
3665,"73 WOOSTER STREET, New York City, NY, ",Match,Exact,"73 WOOSTER ST, NEW YORK, NY, 10012","-74.00168,40.723522",642471741,L,36,61,4700,1003
4996,"734 EAST 5 STREET, New York City, NY, ",Match,Exact,"734 E 5TH ST, NEW YORK, NY, 10009","-73.97884,40.72251",59654760,R,36,61,2601,1001
3666,"340 CABRINI BOULEVARD, New York City, NY, ",Match,Exact,"340 CABRINI BLVD, NEW YORK, NY, 10040","-73.93721,40.856567",642471475,L,36,61,27500,1004
4997,"315 16 STREET, New York City, NY, ",Tie,,,,,,,,,
3667,"225 LAFAYETTE STREET, New York City, NY, ",Match,Exact,"225 LAFAYETTE ST, NEW YORK, NY, 10012","-73.99727,40.72213",642471723,R,36,61,4500,1000
4998,"264 CUMBERLAND STREET, New York City, NY, ",No_Match,,,,,,,,,
3668,"255 WEST 148 STREET, New York City, NY, ",Match,Exact,"255 W 148TH ST, NEW YORK, NY, 10039","-73.93922,40.82422",59656307,R,36,61,23400,1002
4999,"3360 SHORE PARKWAY SR SOU, New York City, NY, ",No_Match,,,,,,,,,
3669,"179 EAST 78 STREET, New York City, NY, ",Match,Exact,"179 E 78TH ST, NEW YORK, NY, 10075","-73.95846,40.773888",59657402,L,36,61,14000,3000
