"-5433","256 GATES AVENUE, New York City, NY,  ","No_Match"
"3681","225 WEST 71 STREET, New York City, NY,  ","Match","Exact","225 W 71ST ST, NEW YORK, NY, 10023","-73.98324,40.7784","650082301","R","36","061","015900","6001"
"2353","2145 OCEAN AVENUE, New York City, NY,  ","No_Match"
"2352","824 BERGEN STREET, New York City, NY,  ","No_Match"
"1019","7 RIVINGTON STREET, New York City, NY,  ","Match","Exact","7 RIVINGTON ST, NEW YORK, NY, 10002","-73.9928,40.72141","59653970","R","36","061","001800","5001"
"2348","85 GREENPOINT AVENUE, New York City, NY,  ","No_Match"
"1015","204 EAST 112 STREET, New York City, NY,  ","Match","Exact","204 E 112TH ST, NEW YORK, NY, 10029","-73.94162,40.795296","59658055","R","36","061","018000","3000"
"2345","637 BUSHWICK AVENUE, New York City, NY,  ","No_Match"
"3675","160 WEST 84 STREET, New York City, NY,  ","Match","Exact","160 W 84TH ST, NEW YORK, NY, 10024","-73.97483,40.785877","59656749","L","36","061","016900","4000"
"3693","343 WEST 14 STREET, New York City, NY,  ","Match","Exact","343 W 14TH ST, NEW YORK, NY, 10014","-74.00376,40.74028","634256906","R","36","061","008300","2002"
"-6707","257 SOUTH STREET, New York City, NY,  ","Match","Exact","257 SOUTH ST, NEW YORK, NY, 10002","-73.9843,40.71073","59654348","R","36","061","000202","2004"
"3695","1854 ADAM C POWELL BOULEV, New York City, NY,  ","No_Match"
"2362","132 NORTH 1 STREET, New York City, NY,  ","Match","Non_Exact","132 E 1ST ST, NEW YORK, NY, 10009","-73.98672,40.722557","59664425","L","36","061","003002","2001"
"1030","94 RIVINGTON STREET, New York City, NY,  ","Match","Exact","94 RIVINGTON ST, NEW YORK, NY, 10002","-73.988625,40.720165","59654112","L","36","061","003001","2001"
"1029","51 LUDLOW STREET, New York City, NY,  ","Match","Exact","51 LUDLOW ST, NEW YORK, NY, 10002","-73.990166,40.716576","59654283","L","36","061","001600","4001"
"1023","29 5 AVENUE, New York City, NY,  ","Match","Exact","29 5TH AVE, NEW YORK, NY, 10003","-73.99566,40.73319","59653538","R","36","061","005900","1000"
"3688","350 WEST 85 STREET, New York City, NY,  ","Match","Exact","350 W 85TH ST, NEW YORK, NY, 10024","-73.979866,40.78883","611170510","L","36","061","017100","4000"
"-6715","337 WEST 14 STREET, New York City, NY,  ","Match","Exact","337 W 14TH ST, NEW YORK, NY, 10014","-74.00364,40.74023","634256906","R","36","061","008300","2002"
"2375","250 NORTH 6 STREET, New York City, NY,  ","No_Match"
"1043","110 BENNETT AVENUE, New York City, NY,  ","Match","Exact","110 BENNETT AVE, NEW YORK, NY, 10033","-73.935036,40.853687","59655563","L","36","061","027100","5000"
"1042","531 EAST 12 STREET, New York City, NY,  ","Match","Exact","531 E 12TH ST, NEW YORK, NY, 10009","-73.98054,40.72876","59654700","L","36","061","003400","1001"
