"-13521","72 CHARLES STREET, New York City, NY,  ","Match","Exact","72 CHARLES ST, NEW YORK, NY, 10014","-74.00359,40.734825","59659913","L","36","061","007300","4000"
"-14854","195 STEUBEN STREET, New York City, NY,  ","No_Match"
"-10492","1665 EAST 7 STREET, New York City, NY,  ","No_Match"
"2325","665 WEST 160 STREET, New York City, NY,  ","Match","Exact","665 W 160TH ST, NEW YORK, NY, 10032","-73.9459,40.836933","59655434","R","36","061","024700","3000"
"-14853","3220 VICTORY BOULEVARD, New York City, NY,  ","No_Match"
"-13523","605 WEST 156 STREET, New York City, NY,  ","Match","Exact","605 W 156TH ST, NEW YORK, NY, 10032","-73.945595,40.833553","59655438","R","36","061","024100","2000"
"-10491","200 ROSS STREET, New York City, NY,  ","No_Match"
"-10498","1025 BOYNTON AVENUE, New York City, NY,  ","No_Match"
"-10497","6425 BROADWAY, New York City, NY,  ","No_Match"
"2321","203 CANAL STREET, New York City, NY,  ","Match","Exact","203 CANAL ST, NEW YORK, NY, 10013","-73.99864,40.71714","59653795","R","36","061","004100","5004"
"3655","579 BLAKE AVENUE, New York City, NY,  ","No_Match"
"-10499","1190 SHAKESPEARE AVENUE, New York City, NY,  ","No_Match"
"-14858","650 VICTORY BOULEVARD, New York City, NY,  ","No_Match"
"-13526","270 RIVERSIDE DRIVE, New York City, NY,  ","Match","Exact","270 RIVERSIDE DR, NEW YORK, NY, 10025","-73.97344,40.797947","59656565","R","36","061","018700","2000"
"3672","286 SOUTH 2 STREET, New York City, NY,  ","No_Match"
"1011","74 SOUTH 4 STREET, New York City, NY,  ","Tie"
"-12200","39 GREENPOINT AVENUE, New York City, NY,  ","No_Match"
"2337","21 2 AVENUE, New York City, NY,  ","No_Match"
"-14865","115 STUYVESANT PLACE, New York City, NY,  ","No_Match"
"-13533","331 EAST 108 STREET, New York City, NY,  ","Match","Exact","331 E 108TH ST, NEW YORK, NY, 10029","-73.94015,40.79134","647151158","L","36","061","017000","5000"
"-12202","34 77 STREET, New York City, NY,  ","Tie"
"2336","47 ANN STREET, New York City, NY,  ","Match","Exact","47 ANN ST, NEW YORK, NY, 10038","-74.007065,40.710426","59660465","L","36","061","001501","1007"
"-14864","514 RICHMOND TERRACE, New York City, NY,  ","No_Match"
"-13530","107 EAST 130 STREET, New York City, NY,  ","Match","Exact","107 E 130TH ST, NEW YORK, NY, 10037","-73.93651,40.80814","59656521","L","36","061","024200","1004"
"3667","94 HAVEMEYER STREET, New York City, NY,  ","No_Match"
"-14867","23 MOTT AVENUE, New York City, NY,  ","Match","Non_Exact","23 MOTT ST, NEW YORK, NY, 10013","-73.99881,40.714542","59653815","L","36","061","002900","1006"
"-12205","136 MAPLE AVENUE, New York City, NY,  ","No_Match"
"-14869","156 NORTH CONDUIT AVENUE, New York City, NY,  ","No_Match"
"-14868","140 SPRINGFIELD BOULEVARD, New York City, NY,  ","No_Match"
"-13538","328 WEST 47 STREET, New York City, NY,  ","Match","Exact","328 W 47TH ST, NEW YORK, NY, 10036","-73.98839,40.760784","59655218","L","36","061","012700","2001"
"3684","268 67 STREET, New York City, NY,  ","Tie"
"1022","257 GOLD STREET, New York City, NY,  ","No_Match"
"1021","836 DEKALB AVENUE, New York City, NY,  ","No_Match"
"2351","14 WEST 107 STREET, New York City, NY,  ","Match","Exact","14 W 107TH ST, NEW YORK, NY, 10025","-73.95994,40.79888","59656925","L","36","061","019300","2001"
"-17077","980 AVENUE OF THE AMERICA, New York City, NY,  ","Match","Non_Exact","980 AVE OF THE AMERICAS, NEW YORK, NY, 10018","-73.98677,40.751183","59658627","R","36","061","008400","2003"
"-17072","140 EAST 17 STREET, New York City, NY,  ","Match","Exact","140 E 17TH ST, NEW YORK, NY, 10003","-73.98697,40.7357","59653689","R","36","061","005000","5001"
"1017","280 PARKSIDE AVENUE, New York City, NY,  ","No_Match"
"-11763","310 WEST 80 STREET, New York City, NY,  ","Match","Exact","310 W 80TH ST, NEW YORK, NY, 10024","-73.980896,40.785114","59656628","L","36","061","016700","2000"
"1014","224 54 STREET, New York City, NY,  ","Tie"
"1013","716 JEFFERSON AVENUE, New York City, NY,  ","No_Match"
"2343","438 EAST 120 STREET, New York City, NY,  ","Match","Exact","438 E 120TH ST, NEW YORK, NY, 10035","-73.93195,40.797928","610018345","R","36","061","019200","1005"
"-11766","408 EAST 83 STREET, New York City, NY,  ","Match","Exact","408 E 83RD ST, NEW YORK, NY, 10028","-73.95061,40.774837","650090215","R","36","061","013600","1001"
"-10435","493 LINCOLN PLACE, New York City, NY,  ","No_Match"
