"-14830","365 WEST END AVENUE, New York City, NY,  ","Match","Exact","365 W END AVE, NEW YORK, NY, 10024","-73.98198,40.78324","59656643","L","36","061","016300","1005"
"-14850","517 WEST 59 STREET, New York City, NY,  ","Match","Exact","517 W 59TH ST, NEW YORK, NY, 10019","-73.98839,40.77075","650073490","R","36","061","014700","1001"
"-13528","424 ALBANY AVENUE, New York City, NY,  ","No_Match"
"-13529","205 ASHLAND PLACE, New York City, NY,  ","No_Match"
"-13524","214 6 AVENUE, New York City, NY,  ","Match","Exact","214 6TH AVE, NEW YORK, NY, 10014","-74.00335,40.727184","642471963","R","36","061","003700","2006"
"-13525","750 WASHINGTON AVENUE, New York City, NY,  ","Match","Non_Exact","750 WASHINGTON ST, NEW YORK, NY, 10014","-74.008255,40.73708","59659781","L","36","061","007900","2001"
"-14858","310 WEST 95 STREET, New York City, NY,  ","Match","Exact","310 W 95TH ST, NEW YORK, NY, 10025","-73.97383,40.79463","650154003","L","36","061","018300","3000"
"-13526","400 CLINTON AVENUE, New York City, NY,  ","No_Match"
"-14857","669 WASHINGTON STREET, New York City, NY,  ","Match","Exact","669 WASHINGTON ST, NEW YORK, NY, 10014","-74.00854,40.73353","59659854","R","36","061","007500","1004"
"-13527","485 PACIFIC STREET, New York City, NY,  ","No_Match"
"1011","5-03 50 AVENUE, New York City, NY,  ","No_Match"
"1010","100-05 37 AVENUE, New York City, NY,  ","No_Match"
"1008","41-52 63 STREET, New York City, NY,  ","Tie"
"-14863","150 WEST 21 STREET, New York City, NY,  ","Match","Exact","150 W 21ST ST, NEW YORK, NY, 10011","-73.995186,40.74222","59653311","L","36","061","008700","1001"
"-13531","189 20 STREET, New York City, NY,  ","Tie"
"1007","35-91 161 STREET, New York City, NY,  ","No_Match"
"-14862","49 EAST 73 STREET, New York City, NY,  ","Match","Exact","49 E 73RD ST, NEW YORK, NY, 10021","-73.964615,40.772335","59657296","L","36","061","013000","2000"
"-13532","564 EAST 4 STREET, New York City, NY,  ","No_Match"
"1006","81-18 QUEENS BOULEVARD, New York City, NY,  ","No_Match"
"-14865","436 EAST 69 STREET, New York City, NY,  ","Match","Exact","436 E 69TH ST, NEW YORK, NY, 10021","-73.95654,40.765495","59658431","R","36","061","011600","1003"
"-13533","795 EAST 4 STREET, New York City, NY,  ","No_Match"
"1005","5-15 49 AVENUE, New York City, NY,  ","No_Match"
"-14864","150 EAST 57 STREET, New York City, NY,  ","Match","Exact","150 E 57TH ST, NEW YORK, NY, 10022","-73.96767,40.760303","59657492","R","36","061","011203","1002"
"1004","82-15 QUEENS BOULEVARD, New York City, NY,  ","No_Match"
"1003","31-22 UNION STREET, New York City, NY,  ","No_Match"
"1002","41-26 27 STREET, New York City, NY,  ","Tie"
