"4979","47 LINCOLN PLACE, New York City, NY,  ","No_Match"
"4990","880 60 STREET, New York City, NY,  ","No_Match"
"3660","96-10 SHORE FRONT PARKWAY, New York City, NY,  ","No_Match"
"4991","60 OCEANA DRIVE, New York City, NY,  ","No_Match"
"3661","37-59 61 STREET, New York City, NY,  ","Tie"
"4992","52 92 STREET, New York City, NY,  ","Tie"
"3662","23-11 21 AVENUE, New York City, NY,  ","No_Match"
"4993","330 2 STREET, New York City, NY,  ","No_Match"
"1000","496 LA GUARDIA PLACE, New York City, NY,  ","Match","Non_Exact","496 LAGUARDIA PL, NEW YORK, NY, 10012","-73.99919,40.727802","59662012","L","36","061","006500","4001"
"2331","1845 52 STREET, New York City, NY,  ","No_Match"
"2330","131 DIVISION AVENUE, New York City, NY,  ","Tie"
"2328","147 BAY 20 STREET, New York City, NY,  ","Tie"
"2326","2900 OCEAN AVENUE, New York City, NY,  ","No_Match"
"2325","124 ATLANTIC AVENUE, New York City, NY,  ","No_Match"
"2324","153/-59 BAY 26 STREET, New York City, NY,  ","No_Match"
"2323","4007 15 AVENUE, New York City, NY,  ","No_Match"
"2322","2415 ARTHUR AVENUE, New York City, NY,  ","No_Match"
"2321","4011 BRONXWOOD AVENUE, New York City, NY,  ","No_Match"
"3652","26-20 21 STREET, New York City, NY,  ","Tie"
"4983","53 61 SOUTH 8 STREET, New York City, NY,  ","No_Match"
"3653","143-20 HOOVER AVENUE, New York City, NY,  ","No_Match"
"4984","401 BEDFORD AVENUE, New York City, NY,  ","No_Match"
"3654","132-18 41 AVENUE, New York City, NY,  ","No_Match"
"4985","115 96 STREET, New York City, NY,  ","Tie"
"3655","91-06 WHITNEY AVENUE, New York City, NY,  ","No_Match"
"4986","120 OCEANA DRIVE, New York City, NY,  ","No_Match"
"3656","99-40 63 DRIVE, New York City, NY,  ","No_Match"
"3657","40-40 75 STREET, New York City, NY,  ","Tie"
"4988","111 GERRY STREET, New York City, NY,  ","No_Match"
"3658","30-94 CRESCENT STREET, New York City, NY,  ","No_Match"
"4989","1400 AVENUE S, New York City, NY,  ","No_Match"
"2329","1620 EAST 2 STREET, New York City, NY,  ","No_Match"
"3659","40-38 194 STREET, New York City, NY,  ","No_Match"
"3670","40-26 COLLEGE POINT BOULEVARD, New York City, NY,  ","No_Match"
"3671","10-17 JACKSON AVENUE, New York City, NY,  ","Match","Non_Exact","18 JACKSON ST, NEW YORK, NY, 10002","-73.980835,40.71341","650085111","L","36","061","000202","5003"
"3672","11-24 31 AVENUE, New York City, NY,  ","No_Match"
"3673","40-40 68 STREET, New York City, NY,  ","Tie"
"1011","26 WEST 97 STREET, New York City, NY,  ","Match","Exact","26 W 97TH ST, NEW YORK, NY, 10025","-73.96484,40.792625","611176055","L","36","061","018100","6000"
"2342","1113 5 AVENUE, New York City, NY,  ","Match","Exact","1113 5TH AVE, NEW YORK, NY, 10128","-73.957436,40.785606","59657824","R","36","061","016001","3001"
"1010","1801 2 AVENUE, New York City, NY,  ","No_Match"
"2341","497 PACIFIC STREET, New York City, NY,  ","No_Match"
"2340","1 ROCKWELL PLACE, New York City, NY,  ","No_Match"
