"","uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
"1",1184506,"Austin","90D","driving under the influence","driving under the influence","society",2018-01-01 02:43:00,-97.679999,30.223368,"street","street","484530023102047",NA,NA
"2",1184637,"Austin","90Z","all other offenses","all other offenses","other",2018-01-01 17:04:00,-97.754362,30.373163,"residence","residence","484530017072006",NA,NA
"3",1184714,"Austin","90D","driving under the influence","driving under the influence","society",2018-01-02 02:27:00,-97.714191,30.29099,"street","street","484530004011008",NA,NA
"4",1184740,"Austin","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-02 09:27:00,-97.72395,30.273246,"street","street","484530008033029",NA,NA
"5",1185318,"Austin","23F","theft from motor vehicle (except theft of motor vehicle parts or accessories)","larceny/theft offenses","property",2018-01-05 06:30:00,-97.688527,30.330731,"vehicle parking","open space","484530018122002",NA,NA
"6",1185389,"Austin","23C","shoplifting","larceny/theft offenses","property",2018-01-05 13:45:00,-97.802997,30.477398,"supermarket","retail","484910203182000",NA,NA
"7",1185492,"Austin","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2018-01-05 23:30:00,-97.723893,30.319302,"residence","residence","484530003053006",NA,NA
"8",1185543,"Austin","90E","drunkenness (except driving under the influence)","drunkenness (except driving under the influence)","society",2018-01-06 03:44:00,-97.693988,30.322337,"vehicle parking","open space","484530018111020",NA,NA
"9",1185565,"Austin","23H","all other larceny","larceny/theft offenses","property",2018-01-06 09:04:00,-97.691169,30.339153,"other retail","retail","484530018132022",NA,NA
"10",1185629,"Austin","23F","theft from motor vehicle (except theft of motor vehicle parts or accessories)","larceny/theft offenses","property",2018-01-06 15:30:00,-97.810102,30.244182,"street","street","484530019174000",NA,NA
"11",1185713,"Austin","13A","aggravated assault","assault offenses","persons",2018-01-06 22:46:00,-97.683348,30.338174,"vehicle parking","open space","484530018132021",NA,NA
"12",1185752,"Austin","23H","all other larceny","larceny/theft offenses","property",2018-01-07 01:40:00,-97.741832,30.264489,"hotel","hotel","484530011001136",NA,NA
"13",1185911,"Austin","23F","theft from motor vehicle (except theft of motor vehicle parts or accessories)","larceny/theft offenses","property",2018-01-07 20:30:00,-97.792325,30.364349,"vehicle parking","open space","484530017162017",NA,NA
"14",1186059,"Austin","250","counterfeiting/forgery","counterfeiting/forgery","property",2018-01-08 14:30:00,-97.691764,30.32612,"office","commercial","484530018111015",NA,NA
"15",1186189,"Austin","23C","shoplifting","larceny/theft offenses","property",2018-01-09 02:15:00,-97.693988,30.322337,"gas station","retail","484530018111020",NA,NA
"16",1186305,"Austin","23G","theft of motor vehicle parts or accessories","larceny/theft offenses","property",2018-01-09 18:00:00,-97.692284,30.394442,"residence","residence","484530018451000",NA,NA
