"","uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
"2848",2505929,"Chicago","240","motor vehicle theft","motor vehicle theft","property",2009-05-30 12:25:00,-87.649296,41.766403,"street","street","170316811003010",NA,NA
"2849",2505944,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-05-30 12:55:00,-87.617248,41.82339,"street","street","170318359002001",NA,NA
"2850",2506067,"Chicago","39B","operating/promoting/assisting gambling","gambling offenses","society",2009-05-30 15:57:00,-87.709821,41.866359,"green space","open space","170318430001028",NA,NA
"2851",2506119,"Chicago","13B","simple assault","assault offenses","persons",2009-05-30 17:00:00,-87.731729,41.8761,"residence","residence","170312606002006",NA,NA
"2852",2506154,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-05-30 17:25:00,-87.636307,41.763506,"street","street","170316813002002",NA,NA
"2853",2506212,"Chicago","13A","aggravated assault","assault offenses","persons",2009-05-30 18:30:00,-87.667998,41.910625,"bus","transportation","170312415001000",NA,NA
"2854",2506223,"Chicago","90J","trespass of real property","trespass of real property","society",2009-05-30 18:31:00,-87.7654,41.880237,"other retail","retail","170312521011000",NA,NA
"2855",2506257,"Chicago","23H","other theft","larceny/theft offenses","property",2009-05-30 19:00:00,-87.685406,41.894852,"street","street","170312429001005",NA,NA
"2856",2506680,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-05-31 02:15:00,-87.648768,41.746119,"street","street","170317108003002",NA,NA
"2857",2506722,"Chicago","13B","simple assault","assault offenses","persons",2009-05-31 03:00:00,-87.720973,41.847344,"residence","residence","170313005002001",NA,NA
"2858",2506870,"Chicago","90Z","all other offenses","all other offenses","other",2009-05-31 09:00:00,-87.83658,41.980147,"residence","residence","170317608012007",NA,NA
"2859",2507641,"Chicago","26C","impersonation","fraud offenses (except counterfeiting/forgery and bad checks)","property",2009-06-01 00:01:00,-87.644064,41.751484,"finance","commercial","170317101001020",NA,NA
"2860",2507656,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-01 00:10:00,-87.775896,41.953068,"entertainment","leisure","170311506004001",NA,NA
"2861",2507797,"Chicago","13B","simple assault","assault offenses","persons",2009-06-01 07:20:00,-87.7624,41.900351,"residence","residence","170312512004012",NA,NA
"2862",2507922,"Chicago","90Z","all other offenses","all other offenses","other",2009-06-01 09:00:00,-87.6563,41.972134,"residence","residence","170310312002000",NA,NA
"2863",2507984,"Chicago","26C","impersonation","fraud offenses (except counterfeiting/forgery and bad checks)","property",2009-06-01 10:00:00,-87.781739,41.909913,"residence","residence","170312504005016",NA,NA
"2864",2508001,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property",2009-06-01 10:30:00,-87.657884,41.97882,"residence","residence","170310307031000",NA,NA
"2865",2508028,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property",2009-06-01 11:00:00,-87.653809,41.753161,"street","street","170317102005006",NA,NA
"2866",2508031,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property",2009-06-01 11:00:00,-87.600309,41.75034,"residence","residence","170314401011005",NA,NA
"2867",2508039,"Chicago","90Z","all other offenses","all other offenses","other",2009-06-01 11:06:00,-87.75575,41.911956,"street","street","170312502001017",NA,NA
"2868",2508046,"Chicago","90Z","all other offenses","all other offenses","other",2009-06-01 11:19:00,-87.763395,41.890482,"street","street","170312515004007",NA,NA
"2869",2508211,"Chicago","23D","theft from building","larceny/theft offenses","property",2009-06-01 14:00:00,-87.680741,41.765908,"residence","residence","170316610001008",NA,NA
"2870",2508291,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-01 15:20:00,-87.715338,41.863452,"street","street","170318387001018",NA,NA
"2871",2508327,"Chicago","23D","theft from building","larceny/theft offenses","property",2009-06-01 16:00:00,-87.580433,41.794373,"healthcare","healthcare","170314110001002",NA,NA
"2872",2508340,"Chicago","23D","theft from building","larceny/theft offenses","property",2009-06-01 16:15:00,-87.644077,41.751928,"government","government","170317108001000",NA,NA
"2873",2508362,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-01 16:40:00,-87.658865,41.965997,"street","street","170318307003007",NA,NA
"2874",2508447,"Chicago","23H","other theft","larceny/theft offenses","property",2009-06-01 18:00:00,-87.710265,41.917819,"street","street","170312211002029",NA,NA
"2875",2508449,"Chicago","90Z","all other offenses","all other offenses","other",2009-06-01 18:00:00,-87.658309,41.786081,"street","street","170316709002002",NA,NA
"2876",2508723,"Chicago","23B","purse-snatching","larceny/theft offenses","property",2009-06-01 22:30:00,-87.731288,41.912116,"street","street","170312305002011",NA,NA
"2877",2508724,"Chicago","23H","other theft","larceny/theft offenses","property",2009-06-01 22:30:00,-87.77274,41.910136,"street","street","170312504003010",NA,NA
"2878",2508757,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-01 23:15:00,-87.729014,41.949088,"street","street","170311610002013",NA,NA
"2879",2509160,"Chicago","23H","other theft","larceny/theft offenses","property",2009-06-02 11:30:00,-87.724455,41.929001,"residence","residence","170312207022012",NA,NA
"2880",2509312,"Chicago","23C","shoplifting","larceny/theft offenses","property",2009-06-02 13:56:00,-87.581893,41.722386,"other retail","retail","170315103002006",NA,NA
"2881",2509395,"Chicago","90J","trespass of real property","trespass of real property","society",2009-06-02 15:15:00,-87.601636,41.754169,"school","education","170316915003000",NA,NA
"2882",2509406,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society",2009-06-02 15:30:00,-87.767014,41.896653,"street","street","170312513002009",NA,NA
