,address,City,State,Zip
3564,228 EAST 86 STREET,New York City,NY, 
3565,579 WEST 204 STREET,New York City,NY, 
3566,121 HENRY STREET,New York City,NY, 
3567,447 WEST 153 STREET,New York City,NY, 
3568,84 GROVE STREET,New York City,NY, 
3571,112 WEST HOUSTON STREET,New York City,NY, 
3574,985 5 AVENUE,New York City,NY, 
3583,313 EAST 85 STREET,New York City,NY, 
3586,17 WEST 74 STREET,New York City,NY, 
3598,420 EAST 80 STREET,New York City,NY, 
3601,26 GROVE STREET,New York City,NY, 
3602,202 EAST 21 STREET,New York City,NY, 
3614,528 EAST 6 STREET,New York City,NY, 
3615,208 WEST 16 STREET,New York City,NY, 
3618,101 WEST END AVENUE,New York City,NY, 
3619,21 WEST 76 STREET,New York City,NY, 
3621,203 WEST 10 STREET,New York City,NY, 
3629,579 FT WASHINGTON AVENUE,New York City,NY, 
3633,335 WEST 50 STREET,New York City,NY, 
3634,203 WEST 14 STREET,New York City,NY, 
3636,92 GROVE STREET,New York City,NY, 
3638,164 EAST 107 STREET,New York City,NY, 
3639,105 WEST 55 STREET,New York City,NY, 
3642,22 KING STREET,New York City,NY, 
3644,59 WEST 105 STREET,New York City,NY, 
3645,76 WEST 82 STREET,New York City,NY, 
3646,133 EAST 17 STREET,New York City,NY, 
3647,53 WEST 75 STREET,New York City,NY, 
3653,404 EAST 75 STREET,New York City,NY, 
3662,219 EAST 25 STREET,New York City,NY, 
3664,235 EAST 83 STREET,New York City,NY, 
3675,160 WEST 84 STREET,New York City,NY, 
3681,244 WEST 74 STREET,New York City,NY, 
3688,350 WEST 85 STREET,New York City,NY, 
3695,1854 ADAM C POWELL BOULEV,New York City,NY, 
3702,25 WEST 68 STREET,New York City,NY, 
3711,10 OVERLOOK TERRACE,New York City,NY, 
3715,56 ST MARKS PLACE,New York City,NY, 
3725,209 WEST 13 STREET,New York City,NY, 
3732,40 EAST 68 STREET,New York City,NY, 
3735,129 WEST 74 STREET,New York City,NY, 
3737,110 EAST 84 STREET,New York City,NY, 
3744,339 EAST 28 STREET,New York City,NY, 
3746,137 WEST 128 STREET,New York City,NY, 
3756,151 WEST 78 STREET,New York City,NY, 
3757,43 HENRY STREET,New York City,NY, 
3759,118 WEST 137 STREET,New York City,NY, 
3764,90 EDGECOMBE AVENUE,New York City,NY, 
3767,226 WEST 15 STREET,New York City,NY, 
3769,25 WEST 84 STREET,New York City,NY, 
3774,19 CLEVELAND PLACE,New York City,NY, 
3775,52 WEST 77 STREET,New York City,NY, 
3785,109 EAST 73 STREET,New York City,NY, 
3786,47 ANN STREET,New York City,NY, 
3788,229 WEST 60 STREET,New York City,NY, 
3792,400 WEST 63 STREET,New York City,NY, 
3795,249 WEST 144 STREET,New York City,NY, 
3801,71 WEST STREET,New York City,NY, 
3826,164 WEST 116 STREET,New York City,NY, 
3828,364 EAST 10 STREET,New York City,NY, 
3829,195 HESTER STREET,New York City,NY, 
3832,40 MAC DOUGAL STREET,New York City,NY, 
3835,328 WEST 53 STREET,New York City,NY, 
3838,384 EAST 10 STREET,New York City,NY, 
3845,106 WEST 144 STREET,New York City,NY, 
3860,216 WEST 99 STREET,New York City,NY, 
3873,539 EAST 6 STREET,New York City,NY, 
3876,360 WEST 119 STREET,New York City,NY, 
3881,424 EAST 66 STREET,New York City,NY, 
3884,212 GRAND STREET,New York City,NY, 
3888,107 ST MARKS PLACE,New York City,NY, 
3897,134 EAST 22 STREET,New York City,NY, 
3899,326 WEST 11 STREET,New York City,NY, 
3905,53 PARK PLACE,New York City,NY, 
3913,68 WEST 10 STREET,New York City,NY, 
3920,65 SULLIVAN STREET,New York City,NY, 
3921,629 WEST 135 STREET,New York City,NY, 
3927,140 WEST 142 STREET,New York City,NY, 
3936,160 WEST 73 STREET,New York City,NY, 
3941,1930 BROADWAY,New York City,NY, 
3947,1772 MADISON AVENUE,New York City,NY, 
3950,289 CONVENT AVENUE,New York City,NY, 
3954,25 CONVENT AVENUE,New York City,NY, 
3957,213 EAST 37 STREET,New York City,NY, 
3959,315 EAST 85 STREET,New York City,NY, 
3962,166 NORFOLK STREET,New York City,NY, 
3965,234 EAST 50 STREET,New York City,NY, 
3969,825 WEST 187 STREET,New York City,NY, 
3972,411 WEST 24 STREET,New York City,NY, 
3986,140 RIVERSIDE BOULEVARD,New York City,NY, 
3992,259 WEST 12 STREET,New York City,NY, 
3999,49 ST NICHOLAS TERRACE,New York City,NY, 
4015,636 EAST 11 STREET,New York City,NY, 
4016,50 OVERLOOK TERRACE,New York City,NY, 
4020,237 WEST 10 STREET,New York City,NY, 
4023,118 EAST 104 STREET,New York City,NY, 
4030,71 EAST 96 STREET,New York City,NY, 
4031,150 EAST 30 STREET,New York City,NY, 
4043,516 WEST 151 STREET,New York City,NY, 
4049,359 EAST 19 STREET,New York City,NY, 
4051,444 EAST 13 STREET,New York City,NY, 
4056,222 WEST 144 STREET,New York City,NY, 
4059,1902 ADAM C POWELL BOULEV,New York City,NY, 
4061,350 WEST 51 STREET,New York City,NY, 
4062,150 WEST 111 STREET,New York City,NY, 
4085,16 WEST 76 STREET,New York City,NY, 
4090,120 RIDGE STREET,New York City,NY, 
4102,148 WEST 142 STREET,New York City,NY, 
4105,362 RIVERSIDE DRIVE,New York City,NY, 
4108,203 EAST 74 STREET,New York City,NY, 
4110,234 EAST 52 STREET,New York City,NY, 
4117,50 BATTERY PLACE,New York City,NY, 
4122,281 EDGECOMBE AVENUE,New York City,NY, 
4123,171 LEXINGTON AVENUE,New York City,NY, 
4132,274 WEST 115 STREET,New York City,NY, 
4135,103 WEST 14 STREET,New York City,NY, 
4136,208 WEST 111 STREET,New York City,NY, 
4139,140 WEST 105 STREET,New York City,NY, 
4143,80 MORNINGSIDE DRIVE,New York City,NY, 
4146,106 CHARLES STREET,New York City,NY, 
4151,147 EAST 82 STREET,New York City,NY, 
4161,245 3 AVENUE,New York City,NY, 
4164,269 AMSTERDAM AVENUE,New York City,NY, 
4171,240 EAST 89 STREET,New York City,NY, 
4190,520 WEST 48 STREET,New York City,NY, 
4191,235 EAST 13 STREET,New York City,NY, 
4197,309 EAST 69 STREET,New York City,NY, 
4198,1380 YORK AVENUE,New York City,NY, 
4210,226 EAST 25 STREET,New York City,NY, 
4214,83 ST NICHOLAS PLACE,New York City,NY, 
4219,206 ST NICHOLAS AVENUE,New York City,NY, 
4222,605 WEST 156 STREET,New York City,NY, 
4240,314 WEST 30 STREET,New York City,NY, 
4242,458 WEST 52 STREET,New York City,NY, 
4245,604 WEST 162 STREET,New York City,NY, 
4247,2333 1 AVENUE,New York City,NY, 
4253,229 EAST 80 STREET,New York City,NY, 
4256,80 SEAMAN AVENUE,New York City,NY, 
4258,520 WEST 145 STREET,New York City,NY, 
4263,231 EAST 117 STREET,New York City,NY, 
4264,309 WEST 54 STREET,New York City,NY, 
4268,788 RIVERSIDE DRIVE,New York City,NY, 
4272,24 WEST 111 STREET,New York City,NY, 
4274,582 ST NICHOLAS AVENUE,New York City,NY, 
4275,164 WEST 141 STREET,New York City,NY, 
4278,110 GREENWICH STREET,New York City,NY, 
4286,19 CLINTON STREET,New York City,NY, 
4287,355 EAST 10 STREET,New York City,NY, 
4293,638 WEST 160 STREET,New York City,NY, 
4294,420 EAST 11 STREET,New York City,NY, 
4295,430 EAST 86 STREET,New York City,NY, 
4309,4 WEST 108 STREET,New York City,NY, 
4310,232 EAST 12 STREET,New York City,NY, 
4311,48 STUYVESANT STREET,New York City,NY, 
4322,40 PARK AVENUE,New York City,NY, 
4328,260 WEST 52 STREET,New York City,NY, 
4336,670 RIVERSIDE DRIVE,New York City,NY, 
4348,400 WEST 59 STREET,New York City,NY, 
4360,845 RIVERSIDE DRIVE,New York City,NY, 
4361,161 WEST 10 STREET,New York City,NY, 
4365,346 BROADWAY,New York City,NY, 
4366,208 WEST 88 STREET,New York City,NY, 
4368,70 CONVENT AVENUE,New York City,NY, 
4369,246 WEST 116 STREET,New York City,NY, 
4371,601 WEST 57 STREET,New York City,NY, 
4379,720 RIVERSIDE DRIVE,New York City,NY, 
4386,220 AUDUBON AVENUE,New York City,NY, 
4392,700 FT WASHINGTON AVENUE,New York City,NY, 
4410,394 EAST 8 STREET,New York City,NY, 
4427,115 EAST 34 STREET,New York City,NY, 
4434,125 EAST 118 STREET,New York City,NY, 
4439,7 WEST 108 STREET,New York City,NY, 
4441,211 EAST 10 STREET,New York City,NY, 
4445,183 THOMPSON STREET,New York City,NY, 
4450,419 WEST 129 STREET,New York City,NY, 
4458,452 WEST 149 STREET,New York City,NY, 
4466,405 WEST 118 STREET,New York City,NY, 
4468,336 EAST 90 STREET,New York City,NY, 
4470,234 EAST 119 STREET,New York City,NY, 
4471,15 BIALYSTOKER PLACE,New York City,NY, 
4473,66 WEST 85 STREET,New York City,NY, 
4474,1 COOPER SQUARE,New York City,NY, 
4480,320 EAST 58 STREET,New York City,NY, 
4483,9 EAST 32 STREET,New York City,NY, 
4486,51 WEST 86 STREET,New York City,NY, 
4487,1952 2 AVENUE,New York City,NY, 
4491,267 WEST 113 STREET,New York City,NY, 
4496,147 EAST 30 STREET,New York City,NY, 
4506,126 EAST 39 STREET,New York City,NY, 
4508,12 5 AVENUE,New York City,NY, 
4515,10 WEST 138 STREET,New York City,NY, 
4516,27 WEST 86 STREET,New York City,NY, 
4525,508 WEST 166 STREET,New York City,NY, 
4526,50 WEST 107 STREET,New York City,NY, 
4527,524 EAST 88 STREET,New York City,NY, 
4536,379 EAST 10 STREET,New York City,NY, 
4544,730 RIVERSIDE DRIVE,New York City,NY, 
4550,233 EAST 111 STREET,New York City,NY, 
4556,36 EAST 38 STREET,New York City,NY, 
4558,453 WEST 37 STREET,New York City,NY, 
4564,344 3 AVENUE,New York City,NY, 
4565,65 EAST HOUSTON STREET,New York City,NY, 
4566,134 WEST 58 STREET,New York City,NY, 
4567,287 EDGECOMBE AVENUE,New York City,NY, 
4571,234 EAST 3 STREET,New York City,NY, 
4575,116 JOHN STREET,New York City,NY, 
4576,99 SUFFOLK STREET,New York City,NY, 
4582,5 EAST 86 STREET,New York City,NY, 
4585,229 WEST 115 STREET,New York City,NY, 
4599,1900 LEXINGTON AVENUE,New York City,NY, 
4601,2234 1 AVENUE,New York City,NY, 
4603,2272 FREDRICK DOUGLASS BL,New York City,NY, 
4605,699 WEST 239 STREET,New York City,NY, 
4606,2916 ST THERESA AVENUE,New York City,NY, 
4607,2765 MATTHEWS AVENUE,New York City,NY, 
4608,3971 GOUVERNEUR AVENUE,New York City,NY, 
4610,3555 NETHERLAND AVENUE,New York City,NY, 
4612,1266 OLMSTEAD AVENUE,New York City,NY, 
4614,16 RICHMAN PLAZA,New York City,NY, 
4615,40 WEST MOSHOLU PARKWAY S,New York City,NY, 
4616,2185 HONE AVENUE,New York City,NY, 
4618,215 WEST 242 STREET,New York City,NY, 
4619,3555 OXFORD AVENUE,New York City,NY, 
4622,845 WALTON AVENUE,New York City,NY, 
4624,2929 BAINBRIDGE AVENUE,New York City,NY, 
4625,5431 SYLVAN AVENUE,New York City,NY, 
4627,3900 GREYSTONE AVENUE,New York City,NY, 
4628,1244 WESTCHESTER AVENUE,New York City,NY, 
4629,3135 DECATUR AVENUE,New York City,NY, 
4630,1150 ST LAWRENCE AVENUE,New York City,NY, 
4631,278 BROOK AVENUE,New York City,NY, 
4632,3800 PUTNAM AVENUE WEST,New York City,NY, 
4633,2475 PALISADE AVENUE,New York City,NY, 
4634,1527 PLYMOUTH AVENUE,New York City,NY, 
4636,769 GROTE STREET,New York City,NY, 
4637,2516 GRAND AVENUE,New York City,NY, 
4638,1230 WOODYCREST AVENUE,New York City,NY, 
4639,864 EAST 221 STREET,New York City,NY, 
4640,630 EAST 221 STREET,New York City,NY, 
4642,3009 KINGSBRIDGE TERRACE,New York City,NY, 
4643,2851 WEBB AVENUE,New York City,NY, 
4646,361 EAST 188 STREET,New York City,NY, 
4647,631 EAST 168 STREET,New York City,NY, 
4648,3611 HENRY HUDSON PARKWAY,New York City,NY, 
4649,522 MORRIS AVENUE,New York City,NY, 
4651,705 GERARD AVENUE,New York City,NY, 
4653,938 BRONX PARK SOUTH,New York City,NY, 
4655,2408 CAMBRELENG AVENUE,New York City,NY, 
4656,775 FOX STREET,New York City,NY, 
4657,2853 WEBB AVENUE,New York City,NY, 
4658,2940 EAST 196 STREET,New York City,NY, 
4660,441 EAST 155 STREET,New York City,NY, 
4661,130 VAN CORTLANDT AVENUE,New York City,NY, 
4662,663 FOX STREET,New York City,NY, 
4664,575 EAST 140 STREET,New York City,NY, 
4665,680 BECK STREET,New York City,NY, 
4666,244 FIELDSTON TERRACE,New York City,NY, 
4667,784 FOX STREET,New York City,NY, 
4668,1505 MACOMBS ROAD,New York City,NY, 
4670,2880 PARK AVENUE,New York City,NY, 
4672,1240 WESTCHESTER AVENUE,New York City,NY, 
4674,2466 MARION AVENUE,New York City,NY, 
4677,1025 BOYNTON AVENUE,New York City,NY, 
4681,610 TRINITY AVENUE,New York City,NY, 
4682,921 EAST 180 STREET,New York City,NY, 
4683,3725 BLACKSTONE AVENUE,New York City,NY, 
4684,830 FOX STREET,New York City,NY, 
4685,2600 NETHERLAND AVENUE,New York City,NY, 
4686,489 EAST 142 STREET,New York City,NY, 
4687,3572 DEKALB AVENUE,New York City,NY, 
4688,570 EAST 2 STREET,New York City,NY, 
4689,15 WYCKOFF STREET,New York City,NY, 
4690,2263 84 STREET,New York City,NY, 
4691,1228 49 STREET,New York City,NY, 
4692,268 BAY 38 STREET,New York City,NY, 
4694,8621 20 AVENUE,New York City,NY, 
4695,1510 OCEAN PARKWAY,New York City,NY, 
4697,5501 15 AVENUE,New York City,NY, 
4698,1522 55 STREET,New York City,NY, 
4699,162 7 AVENUE,New York City,NY, 
4701,540 ROCKAWAY PARKWAY,New York City,NY, 
4702,311 BALTIC STREET,New York City,NY, 
4703,564 EAST 4 STREET,New York City,NY, 
4704,1429 35 STREET,New York City,NY, 
4705,150 21 STREET,New York City,NY, 
4706,129 LAFAYETTE AVENUE,New York City,NY, 
4708,63 FT GREENE PLACE,New York City,NY, 
4709,276 DEAN STREET,New York City,NY, 
4710,550 EAST 21 STREET,New York City,NY, 
4712,624 11 STREET,New York City,NY, 
4716,303 BERGEN STREET,New York City,NY, 
4719,324 MONTGOMERY STREET,New York City,NY, 
4721,973 47 STREET,New York City,NY, 
4722,303 99 STREET,New York City,NY, 
4723,36 CLARK STREET,New York City,NY, 
4724,92 ATLANTIC AVENUE,New York City,NY, 
4725,225 FOSTER AVENUE,New York City,NY, 
4726,392 CLINTON AVENUE,New York City,NY, 
4727,375 STATE STREET,New York City,NY, 
4728,3161 BRIGHTON 6 STREET,New York City,NY, 
4730,514 ROCKAWAY PARKWAY,New York City,NY, 
4732,286 5 AVENUE,New York City,NY, 
4733,715 EAST 2 STREET,New York City,NY, 
4734,1669 79 STREET,New York City,NY, 
4736,1020 45 STREET,New York City,NY, 
4739,364 95 STREET,New York City,NY, 
4740,874 42 STREET,New York City,NY, 
4741,191 HICKS STREET,New York City,NY, 
4743,412 OCEAN AVENUE,New York City,NY, 
4744,1113 AVENUE O,New York City,NY, 
4747,687 86 STREET,New York City,NY, 
4748,487 CLINTON AVENUE,New York City,NY, 
4750,1059 BERGEN STREET,New York City,NY, 
4751,436 NEW YORK AVENUE,New York City,NY, 
4752,1781 EAST 16 STREET,New York City,NY, 
4753,310 ST JOHNS PLACE,New York City,NY, 
4754,946 42 STREET,New York City,NY, 
4755,2355 EAST 12 STREET,New York City,NY, 
4756,417 OCEAN AVENUE,New York City,NY, 
4757,214 PROSPECT PLACE,New York City,NY, 
4758,2075 79 STREET,New York City,NY, 
4759,2612 WEST STREET,New York City,NY, 
4762,136 HICKS STREET,New York City,NY, 
4763,2150 BEDFORD AVENUE,New York City,NY, 
4764,654 PARK PLACE,New York City,NY, 
4765,150 CORBIN PLACE,New York City,NY, 
4767,9 NIXON COURT,New York City,NY, 
4768,148 HANCOCK STREET,New York City,NY, 
4769,829 GREENWOOD AVENUE,New York City,NY, 
4770,20 MANHATTAN AVENUE,New York City,NY, 
4771,189 NORMAN AVENUE,New York City,NY, 
4772,3115 BRIGHTON 6 STREET,New York City,NY, 
4773,111 4 PLACE,New York City,NY, 
4775,196 CLINTON AVENUE,New York City,NY, 
4777,88 ADELPHI STREET,New York City,NY, 
4778,575 5 AVENUE,New York City,NY, 
4779,154 CARROLL STREET,New York City,NY, 
4780,138 JORALEMON STREET,New York City,NY, 
4782,1103 GATES AVENUE,New York City,NY, 
4784,180 PROSPECT PARK WEST,New York City,NY, 
4786,680 MONROE STREET,New York City,NY, 
4788,1290 BUSHWICK AVENUE,New York City,NY, 
4791,415 CHAUNCEY STREET,New York City,NY, 
4792,964 EAST 15 STREET,New York City,NY, 
4793,257 SARATOGA AVENUE,New York City,NY, 
4794,378 PENNSYLVANIA AVENUE,New York City,NY, 
4795,435 SCHENCK AVENUE,New York City,NY, 
4797,701 EMPIRE BOULEVARD,New York City,NY, 
4799,408 HOWARD AVENUE,New York City,NY, 
4800,271 SULLIVAN PLACE,New York City,NY, 
4801,1445 ST MARKS AVENUE,New York City,NY, 
4802,1131 AVENUE Z,New York City,NY, 
4803,601 CROWN STREET,New York City,NY, 
4806,185 20 STREET,New York City,NY, 
4807,2123 84 STREET,New York City,NY, 
4808,2110 FULTON STREET,New York City,NY, 
4809,351 HOWARD AVENUE,New York City,NY, 
4810,1073 GREENE AVENUE,New York City,NY, 
4814,89 7 AVENUE,New York City,NY, 
4817,1247 FLATBUSH AVENUE,New York City,NY, 
4819,330 OCEAN PARKWAY,New York City,NY, 
4820,1251 59 STREET,New York City,NY, 
4821,21 MONTROSE AVENUE,New York City,NY, 
4823,503 12 STREET,New York City,NY, 
4826,558 EAST 2 STREET,New York City,NY, 
4827,2911 BRIGHTON 5 STREET,New York City,NY, 
4829,118 SOUTH 3 STREET,New York City,NY, 
4831,3029 BRIGHTON 12 STREET,New York City,NY, 
4834,57 REMSEN STREET,New York City,NY, 
4835,1860 EAST 12 STREET,New York City,NY, 
4840,67 93 STREET,New York City,NY, 
4841,131 JORALEMON STREET,New York City,NY, 
4851,367 SOUTH 2 STREET,New York City,NY, 
4852,1447 EAST 2 STREET,New York City,NY, 
4855,3120 CONEY ISLAND AVENUE,New York City,NY, 
4856,295 CLINTON AVENUE,New York City,NY, 
4858,384 ATLANTIC AVENUE,New York City,NY, 
4859,26 GATES AVENUE,New York City,NY, 
4861,440 ALBANY AVENUE,New York City,NY, 
4868,1782 BAY RIDGE PARKWAY,New York City,NY, 
4870,7914 4 AVENUE,New York City,NY, 
4878,402 SOUTH 2 STREET,New York City,NY, 
4883,415 ALBEMARLE ROAD,New York City,NY, 
4886,74 MONTAGUE STREET,New York City,NY, 
4891,1347 48 STREET,New York City,NY, 
4893,284 EASTERN PARKWAY,New York City,NY, 
4895,276 SOUTH 1 STREET,New York City,NY, 
4896,223 13 STREET,New York City,NY, 
4901,122 BERGEN STREET,New York City,NY, 
4903,3110 BRIGHTON 7 STREET,New York City,NY, 
4904,204 COLUMBIA HEIGHTS,New York City,NY, 
4908,271 SOUTH 2 STREET,New York City,NY, 
4910,482 FRANKLIN AVENUE,New York City,NY, 
4927,4219 7 AVENUE,New York City,NY, 
4928,3001 SHORE PARKWAY,New York City,NY, 
4930,566 DEKALB AVENUE,New York City,NY, 
4935,290 EAST 56 STREET,New York City,NY, 
4945,160 WILSON STREET,New York City,NY, 
4949,356 ST JOHNS PLACE,New York City,NY, 
4950,1650 WEST 10 STREET,New York City,NY, 
4951,300 12 STREET,New York City,NY, 
4952,1045 ST JOHNS PLACE,New York City,NY, 
4954,2502 EAST 19 STREET,New York City,NY, 
4956,1996 OCEAN AVENUE,New York City,NY, 
4961,549 6 AVENUE,New York City,NY, 
4966,195 DRIGGS AVENUE,New York City,NY, 
4967,862 UNION STREET,New York City,NY, 
4968,5 SPENCER COURT,New York City,NY, 
4971,692 METROPOLITAN AVENUE,New York City,NY, 
4979,1086 BROADWAY,New York City,NY, 
4982,506 WASHINGTON AVENUE,New York City,NY, 
4990,6301 23 AVENUE,New York City,NY, 
4991,332 90 STREET,New York City,NY, 
4997,1802 AVENUE L,New York City,NY, 
5005,1837 EAST 17 STREET,New York City,NY, 
5007,25 BAY 31 STREET,New York City,NY, 
5010,6 MONTAGUE TERRACE,New York City,NY, 
5011,8785 BAY 16 STREET,New York City,NY, 
5013,260 SOUTH 1 STREET,New York City,NY, 
5020,2330 OCEAN AVENUE,New York City,NY, 
5021,250 PACIFIC STREET,New York City,NY, 
5029,2939 OCEAN AVENUE,New York City,NY, 
5030,387 FRANKLIN AVENUE,New York City,NY, 
5036,260 ST JAMES PLACE,New York City,NY, 
5037,1226 FLUSHING AVENUE,New York City,NY, 
5042,1701 WEST 3 STREET,New York City,NY, 
5044,442 STERLING PLACE,New York City,NY, 
5045,165 MONTROSE AVENUE,New York City,NY, 
5046,1222 ST JOHNS PLACE,New York City,NY, 
5048,3021 BRIGHTON 13 STREET,New York City,NY, 
5051,573 METROPOLITAN AVENUE,New York City,NY, 
5052,180 SCHOLES STREET,New York City,NY, 
5054,277 7 STREET,New York City,NY, 
5056,395 SOUTH 3 STREET,New York City,NY, 
5057,2954 BRIGHTON 12 STREET,New York City,NY, 
5063,253 POWERS STREET,New York City,NY, 
5064,938 54 STREET,New York City,NY, 
5065,76 LEXINGTON AVENUE,New York City,NY, 
5067,529 8 STREET,New York City,NY, 
5070,626 LINCOLN PLACE,New York City,NY, 
5072,3126 CONEY ISLAND AVENUE,New York City,NY, 
5074,429 CLASSON AVENUE,New York City,NY, 
5076,214 STERLING PLACE,New York City,NY, 
5078,2270 64 STREET,New York City,NY, 
5081,65 MASPETH AVENUE,New York City,NY, 
5084,416 EAST 17 STREET,New York City,NY, 
5085,29 PUTNAM AVENUE,New York City,NY, 
5089,1814 EAST 19 STREET,New York City,NY, 
5093,1811 QUENTIN ROAD,New York City,NY, 
5094,184 PROSPECT PARK WEST,New York City,NY, 
5095,404 STATE STREET,New York City,NY, 
5098,101 OCEAN PARKWAY,New York City,NY, 
5100,3255 SHORE PARKWAY,New York City,NY, 
5102,240 WYTHE AVENUE,New York City,NY, 
5103,210 KOSCIUSZKO STREET,New York City,NY, 
5106,427 16 STREET,New York City,NY, 
5107,160 WEST END AVENUE,New York City,NY, 
5108,213 TAAFFE PLACE,New York City,NY, 
5118,1240 EAST 38 STREET,New York City,NY, 
5119,107 HAVEMEYER STREET,New York City,NY, 
5121,189 20 STREET,New York City,NY, 
5124,2662 OCEAN AVENUE,New York City,NY, 
5126,1618 EAST 15 STREET,New York City,NY, 
5127,862 50 STREET,New York City,NY, 
5130,44 MALCOLM X BOULEVARD,New York City,NY, 
5133,6801 14 AVENUE,New York City,NY, 
5135,1415 WEST 8 STREET,New York City,NY, 
5136,1420 OCEAN PARKWAY,New York City,NY, 
5138,1315 WEST 7 STREET,New York City,NY, 
5139,1567 NOSTRAND AVENUE,New York City,NY, 
5140,489 EASTERN PARKWAY,New York City,NY, 
5141,38 PROSPECT PARK SOUTHWES,New York City,NY, 
5142,2160 CATON AVENUE,New York City,NY, 
5144,345 ST JOHNS PLACE,New York City,NY, 
5145,1192 FULTON STREET,New York City,NY, 
5148,24 LAWTON STREET,New York City,NY, 
5149,2704 OCEAN AVENUE,New York City,NY, 
5153,520 LINCOLN PLACE,New York City,NY, 
5154,421 UNION AVENUE,New York City,NY, 
5165,1362 OCEAN AVENUE,New York City,NY, 
5172,2035 EAST 16 STREET,New York City,NY, 
5175,472 LEFFERTS AVENUE,New York City,NY, 
5176,3026 BRIGHTON 14 STREET,New York City,NY, 
5182,210 PARK PLACE,New York City,NY, 
5183,187 ROCHESTER AVENUE,New York City,NY, 
5184,202 AVENUE F,New York City,NY, 
5188,1671 EAST 17 STREET,New York City,NY, 
5190,283 23 STREET,New York City,NY, 
5197,1620 CATON AVENUE,New York City,NY, 
5199,2225 BENSON AVENUE,New York City,NY, 
5201,18 IRVING AVENUE,New York City,NY, 
5205,2060 PITKIN AVENUE,New York City,NY, 
5210,9302 KINGS HIGHWAY,New York City,NY, 
5212,1745 EAST 16 STREET,New York City,NY, 
5213,2770 OCEAN AVENUE,New York City,NY, 
5218,3049 BRIGHTON 12 STREET,New York City,NY, 
5220,66 ST PAULS PLACE,New York City,NY, 
5222,505 ELMWOOD AVENUE,New York City,NY, 
5224,770 EMPIRE BOULEVARD,New York City,NY, 
5225,7705 BAY PARKWAY,New York City,NY, 
5226,125 GREENPOINT AVENUE,New York City,NY, 
5230,2742 EAST 13 STREET,New York City,NY, 
5235,768 ROCKAWAY AVENUE,New York City,NY, 
5238,422 EAST 17 STREET,New York City,NY, 
5239,703 BUSHWICK AVENUE,New York City,NY, 
5245,950 WILLOUGHBY AVENUE,New York City,NY, 
5249,2000 KINGS HIGHWAY,New York City,NY, 
5264,1256 EAST 13 STREET,New York City,NY, 
5267,75 BUSHWICK AVENUE,New York City,NY, 
5268,574 4 AVENUE,New York City,NY, 
5272,646 PRESIDENT STREET,New York City,NY, 
5277,2440 EAST 29 STREET,New York City,NY, 
5279,1409 WILLOUGHBY AVENUE,New York City,NY, 
5281,8754 17 AVENUE,New York City,NY, 
5283,6 MALCOLM X BOULEVARD,New York City,NY, 
5289,170 EAST 4 STREET,New York City,NY, 
5293,809 PARK PLACE,New York City,NY, 
5294,28 KINGSLAND AVENUE,New York City,NY, 
5298,309 WASHINGTON AVENUE,New York City,NY, 
5301,544 UNION AVENUE,New York City,NY, 
5303,854 MYRTLE AVENUE,New York City,NY, 
5310,261 GATES AVENUE,New York City,NY, 
5311,1829 EAST 14 STREET,New York City,NY, 
5312,1280 EAST 18 STREET,New York City,NY, 
5316,1592 EASTERN PARKWAY,New York City,NY, 
5318,3601 AVENUE J,New York City,NY, 
5319,229 PARKVILLE AVENUE,New York City,NY, 
5321,53 UTICA AVENUE,New York City,NY, 
5322,154 AVENUE P,New York City,NY, 
5323,70 WYCKOFF AVENUE,New York City,NY, 
5324,464 ST MARKS AVENUE,New York City,NY, 
5326,1705 DORCHESTER ROAD,New York City,NY, 
5329,411 ST JOHNS PLACE,New York City,NY, 
5331,70 DAHILL ROAD,New York City,NY, 
5333,70 KOSCIUSZKO STREET,New York City,NY, 
5334,180 QUINCY STREET,New York City,NY, 
5335,402 MARLBOROUGH ROAD,New York City,NY, 
5336,171 EASTERN PARKWAY,New York City,NY, 
5338,2775 HOMECREST AVENUE,New York City,NY, 
5341,132 NORTH 1 STREET,New York City,NY, 
5344,1232 PACIFIC STREET,New York City,NY, 
5347,1660 EAST 21 STREET,New York City,NY, 
5349,214 6 AVENUE,New York City,NY, 
5351,36 KENILWORTH PLACE,New York City,NY, 
5352,8687 BAY PARKWAY,New York City,NY, 
5353,433 57 STREET,New York City,NY, 
5354,210 HURON STREET,New York City,NY, 
5357,815 49 STREET,New York City,NY, 
5361,1245 50 STREET,New York City,NY, 
5363,627 MORGAN AVENUE,New York City,NY, 
5366,223 LENOX ROAD,New York City,NY, 
5373,116 SOUTH 1 STREET,New York City,NY, 
5378,548 52 STREET,New York City,NY, 
5380,70 NORTH 9 STREET,New York City,NY, 
5382,244 MOORE STREET,New York City,NY, 
5391,1183 FULTON STREET,New York City,NY, 
5396,315 8 AVENUE,New York City,NY, 
5398,1602 WEST 10 STREET,New York City,NY, 
5399,540 ST JOHNS PLACE,New York City,NY, 
5402,5103 14 AVENUE,New York City,NY, 
5403,1776 68 STREET,New York City,NY, 
5405,650 MANHATTAN AVENUE,New York City,NY, 
5408,78 PROSPECT PARK WEST,New York City,NY, 
5409,435 GRAND AVENUE,New York City,NY, 
5411,240 NEW JERSEY AVENUE,New York City,NY, 
5414,32 LENOX ROAD,New York City,NY, 
