,address,City,State,Zip
375,206 AVENUE B,New York City,NY, 
376,120 EAST 34 STREET,New York City,NY, 
379,245 WEST 75 STREET,New York City,NY, 
381,870 8 AVENUE,New York City,NY, 
382,302 MOTT STREET,New York City,NY, 
384,110 WEST 69 STREET,New York City,NY, 
387,454 WEST 47 STREET,New York City,NY, 
388,258 EAST 78 STREET,New York City,NY, 
389,110 WEST 96 STREET,New York City,NY, 
393,2660 BROADWAY,New York City,NY, 
394,305 WEST 13 STREET,New York City,NY, 
396,1067 MADISON AVENUE,New York City,NY, 
397,24 CHRISTOPHER STREET,New York City,NY, 
398,21 ESSEX STREET,New York City,NY, 
399,409 WEST 24 STREET,New York City,NY, 
406,303 EAST 5 STREET,New York City,NY, 
407,230 MOTT STREET,New York City,NY, 
410,2350 BROADWAY,New York City,NY, 
411,2501 BROADWAY,New York City,NY, 
412,151 LEXINGTON AVENUE,New York City,NY, 
414,239 EAST 13 STREET,New York City,NY, 
415,510 AMSTERDAM AVENUE,New York City,NY, 
417,46 AVENUE B,New York City,NY, 
418,431 CENTRAL PARK WEST,New York City,NY, 
419,510 EAST 85 STREET,New York City,NY, 
420,247 ELDRIDGE STREET,New York City,NY, 
422,11 EAST 66 STREET,New York City,NY, 
426,217 EAST 88 STREET,New York City,NY, 
427,140 WEST 79 STREET,New York City,NY, 
428,311 EAST 72 STREET,New York City,NY, 
437,2586 BROADWAY,New York City,NY, 
441,57 WEST 55 STREET,New York City,NY, 
443,155 EAST 88 STREET,New York City,NY, 
444,1571 2 AVENUE,New York City,NY, 
448,210 WEST 89 STREET,New York City,NY, 
450,133 WEST 71 STREET,New York City,NY, 
454,15 PARK AVENUE,New York City,NY, 
455,166 3 AVENUE,New York City,NY, 
458,1596 YORK AVENUE,New York City,NY, 
459,1625 LEXINGTON AVENUE,New York City,NY, 
463,90 7 AVENUE,New York City,NY, 
465,204 WEST 14 STREET,New York City,NY, 
466,615 FT WASHINGTON AVENUE,New York City,NY, 
470,245 EAST 84 STREET,New York City,NY, 
471,180 CLAREMONT AVENUE,New York City,NY, 
472,315 EAST 108 STREET,New York City,NY, 
475,920 AMSTERDAM AVENUE,New York City,NY, 
481,440 WEST 47 STREET,New York City,NY, 
482,333 EAST 54 STREET,New York City,NY, 
486,71 WEST 85 STREET,New York City,NY, 
487,132 EAST 45 STREET,New York City,NY, 
488,333 EAST 95 STREET,New York City,NY, 
489,136 WEST 4 STREET,New York City,NY, 
491,181 EAST 3 STREET,New York City,NY, 
492,202 WEST 81 STREET,New York City,NY, 
497,37 KING STREET,New York City,NY, 
499,425 RIVERSIDE DRIVE,New York City,NY, 
502,352 EAST 89 STREET,New York City,NY, 
503,196 7 AVENUE,New York City,NY, 
504,230 EAST 27 STREET,New York City,NY, 
505,1729 1 AVENUE,New York City,NY, 
508,158 WEST 83 STREET,New York City,NY, 
511,49 WEST 11 STREET,New York City,NY, 
512,2568 BROADWAY,New York City,NY, 
513,110 EAST END AVENUE,New York City,NY, 
514,227 EAST 50 STREET,New York City,NY, 
515,207 WEST 108 STREET,New York City,NY, 
519,1751 YORK AVENUE,New York City,NY, 
520,284 MULBERRY STREET,New York City,NY, 
526,227 RIVERSIDE DRIVE,New York City,NY, 
527,841 7 AVENUE,New York City,NY, 
529,400 CATHEDRAL PARKWAY,New York City,NY, 
531,188 NORFOLK STREET,New York City,NY, 
534,311 WEST 55 STREET,New York City,NY, 
540,105 AVENUE B,New York City,NY, 
541,340 EAST 63 STREET,New York City,NY, 
543,629 EAST 5 STREET,New York City,NY, 
547,570 WEST 204 STREET,New York City,NY, 
552,120 ELIZABETH STREET,New York City,NY, 
553,220 SULLIVAN STREET,New York City,NY, 
557,2041 1 AVENUE,New York City,NY, 
559,326 WEST 11 STREET,New York City,NY, 
565,17 LUDLOW STREET,New York City,NY, 
566,321 EAST 85 STREET,New York City,NY, 
569,103 WEST 80 STREET,New York City,NY, 
571,211 CENTRAL PARK NORTH,New York City,NY, 
572,146 WEST 111 STREET,New York City,NY, 
575,236 MULBERRY STREET,New York City,NY, 
577,17 EAST 67 STREET,New York City,NY, 
578,585 WEST END AVENUE,New York City,NY, 
582,1673 YORK AVENUE,New York City,NY, 
584,2 ORCHARD STREET,New York City,NY, 
585,129 WEST WASHINGTON PLACE,New York City,NY, 
586,222 EAST 21 STREET,New York City,NY, 
588,157 EAST 85 STREET,New York City,NY, 
593,319 WEST 30 STREET,New York City,NY, 
594,245 EAST 44 STREET,New York City,NY, 
595,71 WEST STREET,New York City,NY, 
600,164 STANTON STREET,New York City,NY, 
607,19 WEST 76 STREET,New York City,NY, 
609,716 GREENWICH STREET,New York City,NY, 
611,300 WEST 12 STREET,New York City,NY, 
612,417 EAST 6 STREET,New York City,NY, 
613,27 ST MARKS PLACE,New York City,NY, 
615,148 WEST 70 STREET,New York City,NY, 
618,1393 2 AVENUE,New York City,NY, 
619,2181 BROADWAY,New York City,NY, 
623,203 WEST 14 STREET,New York City,NY, 
624,412 WEST 49 STREET,New York City,NY, 
625,164 WAVERLY PLACE,New York City,NY, 
626,202 ELIZABETH STREET,New York City,NY, 
627,170 EAST 104 STREET,New York City,NY, 
631,148 SULLIVAN STREET,New York City,NY, 
632,412 EAST 79 STREET,New York City,NY, 
633,69 WEST 105 STREET,New York City,NY, 
634,29 WEST 84 STREET,New York City,NY, 
635,309 EAST 18 STREET,New York City,NY, 
636,53 WEST 75 STREET,New York City,NY, 
642,418 EAST 73 STREET,New York City,NY, 
647,302 EAST 5 STREET,New York City,NY, 
651,358 3 AVENUE,New York City,NY, 
652,60 2 AVENUE,New York City,NY, 
653,238 EAST 87 STREET,New York City,NY, 
656,54 ELDRIDGE STREET,New York City,NY, 
657,91 7 AVENUE,New York City,NY, 
662,241 EAST 111 STREET,New York City,NY, 
663,529 WEST 111 STREET,New York City,NY, 
666,165 WEST 83 STREET,New York City,NY, 
667,27 MONROE STREET,New York City,NY, 
668,353 EAST 83 STREET,New York City,NY, 
669,140 ELDRIDGE STREET,New York City,NY, 
670,255 WEST 22 STREET,New York City,NY, 
675,19 ALLEN STREET,New York City,NY, 
677,152 THOMPSON STREET,New York City,NY, 
679,302 WEST 87 STREET,New York City,NY, 
681,169 EAST 91 STREET,New York City,NY, 
683,384 BROOME STREET,New York City,NY, 
684,87 CHRISTOPHER STREET,New York City,NY, 
685,51 WEST 8 STREET,New York City,NY, 
686,1854 ADAM C POWELL BOULEV,New York City,NY, 
688,2041 ADAM C. POWELL BOULE,New York City,NY, 
692,168 WEST 86 STREET,New York City,NY, 
693,42 RIVINGTON STREET,New York City,NY, 
698,210 EAST 68 STREET,New York City,NY, 
699,1182 BROADWAY,New York City,NY, 
702,220 WADSWORTH AVENUE,New York City,NY, 
704,205 WEST 88 STREET,New York City,NY, 
707,87 1 AVENUE,New York City,NY, 
713,473 CENTRAL PARK WEST,New York City,NY, 
718,216 WEST 16 STREET,New York City,NY, 
720,157 ALLEN STREET,New York City,NY, 
724,348 EAST 65 STREET,New York City,NY, 
727,131 CENTRAL PARK NORTH,New York City,NY, 
729,203 GRAND STREET,New York City,NY, 
730,305 LEXINGTON AVENUE,New York City,NY, 
732,120 FORSYTH STREET,New York City,NY, 
734,304 EAST 81 STREET,New York City,NY, 
735,941 WEST END AVENUE,New York City,NY, 
743,363 WEST 126 STREET,New York City,NY, 
746,543 EAST 12 STREET,New York City,NY, 
747,17 CATHERINE STREET,New York City,NY, 
748,106 MADISON STREET,New York City,NY, 
754,346 WEST END AVENUE,New York City,NY, 
755,93 MADISON STREET,New York City,NY, 
756,59 WEST 10 STREET,New York City,NY, 
757,2340 ADAM C POWELL BOULEV,New York City,NY, 
758,365 WEST END AVENUE,New York City,NY, 
759,169 AVENUE OF THE AMERICA,New York City,NY, 
763,939 1 AVENUE,New York City,NY, 
767,30 ST MARKS PLACE,New York City,NY, 
770,505 COLUMBUS AVENUE,New York City,NY, 
777,115 EAST 92 STREET,New York City,NY, 
779,306 EAST 49 STREET,New York City,NY, 
783,449 EAST 83 STREET,New York City,NY, 
798,60 WEST 10 STREET,New York City,NY, 
799,580 ST NICHOLAS AVENUE,New York City,NY, 
805,7 WEST 87 STREET,New York City,NY, 
807,116 AVENUE OF THE AMERICA,New York City,NY, 
810,20 WEST 87 STREET,New York City,NY, 
819,50 WEST 107 STREET,New York City,NY, 
821,101 WEST 85 STREET,New York City,NY, 
837,1900 LEXINGTON AVENUE,New York City,NY, 
843,25 DOWNING STREET,New York City,NY, 
849,235 EAST 14 STREET,New York City,NY, 
850,65 SULLIVAN STREET,New York City,NY, 
851,174 FORSYTH STREET,New York City,NY, 
860,325 EAST HOUSTON STREET,New York City,NY, 
866,229 9 AVENUE,New York City,NY, 
867,364 EAST 10 STREET,New York City,NY, 
903,50 WEST 72 STREET,New York City,NY, 
904,1453 YORK AVENUE,New York City,NY, 
906,173 AVENUE A,New York City,NY, 
909,717 EAST 5 STREET,New York City,NY, 
924,305 SPRING STREET,New York City,NY, 
929,231 LEXINGTON AVENUE,New York City,NY, 
936,198 1 AVENUE,New York City,NY, 
939,79 THOMPSON STREET,New York City,NY, 
940,512 WEST 136 STREET,New York City,NY, 
941,1710 3 AVENUE,New York City,NY, 
947,111 WEST 137 STREET,New York City,NY, 
948,139 EAST 110 STREET,New York City,NY, 
950,1221 AMSTERDAM AVENUE,New York City,NY, 
954,1480 1 AVENUE,New York City,NY, 
959,228 EAST 86 STREET,New York City,NY, 
967,443 3 AVENUE,New York City,NY, 
969,76 EAST 116 STREET,New York City,NY, 
971,220 PARK AVENUE SOUTH,New York City,NY, 
973,634 ST NICHOLAS AVENUE,New York City,NY, 
974,350 WEST 30 STREET,New York City,NY, 
978,25 CONVENT AVENUE,New York City,NY, 
982,236 EAST 36 STREET,New York City,NY, 
983,310 EAST 85 STREET,New York City,NY, 
988,51 LEROY STREET,New York City,NY, 
992,1321 5 AVENUE,New York City,NY, 
994,74 NAGLE AVENUE,New York City,NY, 
997,168 EAST 80 STREET,New York City,NY, 
1003,134 EAST 122 STREET,New York City,NY, 
1015,204 EAST 112 STREET,New York City,NY, 
1019,5 RIVINGTON STREET,New York City,NY, 
1023,29 5 AVENUE,New York City,NY, 
1029,51 LUDLOW STREET,New York City,NY, 
1030,101 STANTON STREET,New York City,NY, 
1036,28 RUTGERS STREET,New York City,NY, 
1038,246 WEST 116 STREET,New York City,NY, 
1039,220 WEST 24 STREET,New York City,NY, 
1040,168 8 AVENUE,New York City,NY, 
1042,531 EAST 12 STREET,New York City,NY, 
1043,739 WEST 186 STREET,New York City,NY, 
1045,474 COLUMBUS AVENUE,New York City,NY, 
1050,312 WEST 53 STREET,New York City,NY, 
1051,159 EAST 102 STREET,New York City,NY, 
1056,169 MANHATTAN AVENUE,New York City,NY, 
1059,9 EAST 32 STREET,New York City,NY, 
1061,112 9 AVENUE,New York City,NY, 
1063,259 WEST 116 STREET,New York City,NY, 
1064,2154 2 AVENUE,New York City,NY, 
1066,528 EAST 82 STREET,New York City,NY, 
1067,79 CHRYSTIE STREET,New York City,NY, 
1071,2210 FREDRICK DOUGLASS BL,New York City,NY, 
1073,519 WEST 147 STREET,New York City,NY, 
1074,122 EAST 13 STREET,New York City,NY, 
1076,147 ORCHARD STREET,New York City,NY, 
1079,139 WAVERLY PLACE,New York City,NY, 
1085,72 BAYARD STREET,New York City,NY, 
1091,1213 YORK AVENUE,New York City,NY, 
1097,79 EAST 125 STREET,New York City,NY, 
1101,429 MALCOM X BOULEVARD,New York City,NY, 
1102,227 WEST 48 STREET,New York City,NY, 
1107,2071 FREDRICK DOUGLASS BL,New York City,NY, 
1108,109 WASHINGTON STREET,New York City,NY, 
1111,243 THELONIOUS MONK CIRCL,New York City,NY, 
1112,47 ST NICHOLAS AVENUE,New York City,NY, 
1115,26 SPRING STREET,New York City,NY, 
1120,3350 BROADWAY,New York City,NY, 
1122,117 WEST 74 STREET,New York City,NY, 
1123,222 EAST 3 STREET,New York City,NY, 
1127,138 LUDLOW STREET,New York City,NY, 
1139,140 WEST 55 STREET,New York City,NY, 
